Date,Currency,INR to Currency,Currency to INR
17-01-2025,US Dollar,0.011552,86.563897
17-01-2025,Euro,0.011215,89.165363
17-01-2025,British Pound,0.009469,105.606464
17-01-2025,Australian Dollar,0.018575,53.837022
17-01-2025,Canadian Dollar,0.016636,60.112117
17-01-2025,Singapore Dollar,0.015784,63.353871
17-01-2025,Swiss Franc,0.010555,94.743881
17-01-2025,Malaysian Ringgit,0.052055,19.210343
17-01-2025,Japanese Yen,1.803476,0.554485
17-01-2025,Chinese Yuan Renminbi,0.084621,11.817406
18-01-2025,US Dollar,0.011551,86.573562
18-01-2025,Euro,0.01123,89.050794
18-01-2025,British Pound,0.00949,105.375514
18-01-2025,Australian Dollar,0.018658,53.597575
18-01-2025,Canadian Dollar,0.016729,59.777121
18-01-2025,Singapore Dollar,0.015814,63.236476
18-01-2025,Swiss Franc,0.010572,94.593118
18-01-2025,Malaysian Ringgit,0.052051,19.211862
18-01-2025,Japanese Yen,1.805582,0.553838
18-01-2025,Chinese Yuan Renminbi,0.084609,11.819054
19-01-2025,US Dollar,0.011551,86.575683
19-01-2025,Euro,0.011251,88.879703
19-01-2025,British Pound,0.00949,105.372771
19-01-2025,Australian Dollar,0.018652,53.61248
19-01-2025,Canadian Dollar,0.016725,59.790493
19-01-2025,Singapore Dollar,0.015821,63.208342
19-01-2025,Swiss Franc,0.010572,94.592714
19-01-2025,Malaysian Ringgit,0.052051,19.211874
19-01-2025,Japanese Yen,1.805938,0.553729
19-01-2025,Chinese Yuan Renminbi,0.084607,11.819332
20-01-2025,US Dollar,0.011599,86.216015
20-01-2025,Euro,0.011151,89.674055
20-01-2025,British Pound,0.009434,105.998048
20-01-2025,Australian Dollar,0.018537,53.947
20-01-2025,Canadian Dollar,0.016635,60.114592
20-01-2025,Singapore Dollar,0.015735,63.552481
20-01-2025,Swiss Franc,0.010534,94.928191
20-01-2025,Malaysian Ringgit,0.052137,19.180292
20-01-2025,Japanese Yen,1.805417,0.553889
20-01-2025,Chinese Yuan Renminbi,0.084826,11.788879
21-01-2025,US Dollar,0.011561,86.494107
21-01-2025,Euro,0.011117,89.95487
21-01-2025,British Pound,0.009399,106.391704
21-01-2025,Australian Dollar,0.01847,54.140563
21-01-2025,Canadian Dollar,0.016623,60.156224
21-01-2025,Singapore Dollar,0.015665,63.835668
21-01-2025,Swiss Franc,0.010494,95.294955
21-01-2025,Malaysian Ringgit,0.051747,19.324637
21-01-2025,Japanese Yen,1.795592,0.556919
21-01-2025,Chinese Yuan Renminbi,0.084064,11.895633
22-01-2025,US Dollar,0.011569,86.436398
22-01-2025,Euro,0.011103,90.065476
22-01-2025,British Pound,0.009392,106.471045
22-01-2025,Australian Dollar,0.018444,54.216707
22-01-2025,Canadian Dollar,0.016633,60.120446
22-01-2025,Singapore Dollar,0.01568,63.775639
22-01-2025,Swiss Franc,0.010493,95.304504
22-01-2025,Malaysian Ringgit,0.051337,19.478944
22-01-2025,Japanese Yen,1.809586,0.552613
22-01-2025,Chinese Yuan Renminbi,0.084134,11.885869
23-01-2025,US Dollar,0.011566,86.458903
23-01-2025,Euro,0.011124,89.895652
23-01-2025,British Pound,0.009385,106.547931
23-01-2025,Australian Dollar,0.018439,54.232483
23-01-2025,Canadian Dollar,0.016632,60.123715
23-01-2025,Singapore Dollar,0.015695,63.713111
23-01-2025,Swiss Franc,0.010516,95.096176
23-01-2025,Malaysian Ringgit,0.051392,19.45827
23-01-2025,Japanese Yen,1.806343,0.553605
23-01-2025,Chinese Yuan Renminbi,0.084292,11.863536
24-01-2025,US Dollar,0.011606,86.163262
24-01-2025,Euro,0.011034,90.627905
24-01-2025,British Pound,0.009296,107.571007
24-01-2025,Australian Dollar,0.018353,54.487681
24-01-2025,Canadian Dollar,0.016628,60.141224
24-01-2025,Singapore Dollar,0.015614,64.043265
24-01-2025,Swiss Franc,0.010498,95.252689
24-01-2025,Malaysian Ringgit,0.05079,19.688749
24-01-2025,Japanese Yen,1.807112,0.553369
24-01-2025,Chinese Yuan Renminbi,0.084073,11.894364
25-01-2025,US Dollar,0.011606,86.165983
25-01-2025,Euro,0.011058,90.429549
25-01-2025,British Pound,0.009299,107.540264
25-01-2025,Australian Dollar,0.018384,54.393767
25-01-2025,Canadian Dollar,0.016679,59.957332
25-01-2025,Singapore Dollar,0.015623,64.008959
25-01-2025,Swiss Franc,0.010513,95.124566
25-01-2025,Malaysian Ringgit,0.050807,19.68215
25-01-2025,Japanese Yen,1.810102,0.552455
25-01-2025,Chinese Yuan Renminbi,0.084069,11.894987
